"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Equanimeous St. Brown","NO","WR193","0.0","2.0","0.0","4.3","56.7","0.6","0.0","13.7"
"Boston Scott","LAR","RB124","2.3","54.3","0.6","2.5","19.1","0.1","0.0","13.7"
"Giovanni Ricci","CLE","TE114","2.4","10.0","0.0","5.6","50.1","0.4","0.1","13.7"
"Scotty Miller","PIT","WR194","0.0","2.0","0.0","5.4","66.3","0.2","0.0","13.6"
"Tyler Johnson","LAR","WR195","0.0","0.0","0.0","5.1","60.5","0.4","0.1","13.5"
"Simi Fehoko","LAC","WR196","0.0","0.0","0.0","5.2","60.4","0.3","0.0","13.3"
"Raheem Blackshear","CAR","RB125","0.0","27.5","0.0","5.5","41.2","0.0","0.0","12.3"
"Damiere Byrd","WAS","WR197","0.0","2.0","0.0","4.6","65.0","0.2","0.0","12.2"
"Keaontay Ingram","KC","RB126","15.4","51.7","0.3","2.9","18.5","0.1","0.0","12.1"
"Dante Miller","NYG","RB127","7.1","29.3","0.2","4.2","28.2","0.2","0.1","12.0"
"Terrace Marshall Jr.","CAR","WR198","0.0","2.0","0.0","4.9","61.1","0.1","0.0","11.8"
"Jalen Nailor","MIN","WR199","0.0","0.0","0.0","4.6","55.7","0.3","0.1","11.6"
"Malik Davis","DAL","RB128","4.6","36.8","0.1","3.7","27.5","0.1","0.0","11.4"
"Michael Burton","DEN","RB129","6.2","25.4","0.2","4.0","26.3","0.2","0.1","11.2"
"Myles Gaskin","MIN","RB130","13.7","54.1","0.3","2.1","13.7","0.1","0.1","11.0"
"Phillip Dorsett II","DEN","WR200","0.0","0.0","0.0","4.3","47.4","0.3","0.0","10.9"
"Salvon Ahmed","MIA","RB131","2.2","30.4","0.0","4.1","29.7","0.1","0.0","10.6"
"Sean Tucker","TB","RB132","10.0","38.8","0.2","2.8","20.5","0.1","0.0","10.4"
"Kene Nwangwu","MIN","RB133","9.7","43.0","0.2","2.7","17.3","0.1","0.0","10.3"
"JaMycal Hasty","NE","RB134","9.4","34.1","0.1","3.2","22.6","0.1","0.0","10.2"
"Josh Ali","ATL","WR201","0.0","0.0","0.0","3.5","43.6","0.3","0.0","9.9"
"Tylan Wallace","BAL","WR202","0.0","2.0","0.0","4.0","50.7","0.1","0.0","9.9"
